TEAM,AD,Twitter,Active in past week?,Active in past month?,Active in past year?,Ever active?,Interim/Notes,Handle,
Air Force,Nathan Pine,nate_pine,Yes,Yes,Yes,Yes,,nate_pine,https://www.twitter.com/nate_pine
Akron,Charles Guthrie,UAkron_AD,Yes,Yes,Yes,Yes,,UAkron_AD,https://www.twitter.com/UAkron_AD
Alabama,Greg Byrne,Greg_Byrne,Yes,Yes,Yes,Yes,,Greg_Byrne,https://www.twitter.com/Greg_Byrne
Appalachian State,Doug Gillin,DougGillin,Yes,Yes,Yes,Yes,,DougGillin,https://www.twitter.com/DougGillin
Arizona,Dave Heeke,Dave_Heeke,Yes,Yes,Yes,Yes,,Dave_Heeke,https://www.twitter.com/Dave_Heeke
Arizona State,Ray Anderson,SunDevilRay23,Yes,Yes,Yes,Yes,,SunDevilRay23,https://www.twitter.com/SunDevilRay23
Arkansas,Hunter Yurachek,HunterYurachek,Yes,Yes,Yes,Yes,,HunterYurachek,https://www.twitter.com/HunterYurachek
Arkansas State,Jeff Purinton,JeffPurinton,Yes,Yes,Yes,Yes,,JeffPurinton,https://www.twitter.com/JeffPurinton
Army,Mike Buddie,Buddie52,Yes,Yes,Yes,Yes,,Buddie52,https://www.twitter.com/Buddie52
Auburn,John Cohen,JohnCohenAD,Yes,Yes,Yes,Yes,,JohnCohenAD,https://www.twitter.com/JohnCohenAD
Ball State,Ken Bothof* (INTERIM),No,No,No,No,No,INTERIM,,
Baylor,Mack Rhoades,BUMackRhoades,No,No,No,No,,BUMackRhoades,https://www.twitter.com/BUMackRhoades
Boise State,Jeramiah Dickey,JeramiahDickey,Yes,Yes,Yes,Yes,,JeramiahDickey,https://www.twitter.com/JeramiahDickey
Boston College,Blake James,BCBlakeJames,No,No,Yes,Yes,,BCBlakeJames,https://www.twitter.com/BCBlakeJames
Bowling Green,Stacy Kosciak* (INTERIM),StacyKosciak,No,Yes,Yes,Yes,INTERIM,StacyKosciak,https://www.twitter.com/StacyKosciak
Buffalo,Mark Alnutt,Alnutt41,Yes,Yes,Yes,Yes,,Alnutt41,https://www.twitter.com/Alnutt41
BYU,Tom Holmoe,TomHolmoe,Yes,Yes,Yes,Yes,,TomHolmoe,https://www.twitter.com/TomHolmoe
California,Jim Knowlton,ADCalBears,No,No,No,Yes,,ADCalBears,https://www.twitter.com/ADCalBears
Central Michigan,Amy Folan,AmyFolan,Yes,Yes,Yes,Yes,,AmyFolan,https://www.twitter.com/AmyFolan
Charlotte,Mike Hill,rmikehill,Yes,Yes,Yes,Yes,,rmikehill,https://www.twitter.com/rmikehill
Cincinnati,John Cunningham,Cunningham_UC,No,Yes,Yes,Yes,,Cunningham_UC,https://www.twitter.com/Cunningham_UC
Clemson,Graham Neff,GrahamNeff,No,Yes,Yes,Yes,,GrahamNeff,https://www.twitter.com/GrahamNeff
Coastal Carolina,Matt Hogue,No,No,No,No,No,,,
Colorado,Rick George,RickGeorgeCU,Yes,Yes,Yes,Yes,,RickGeorgeCU,https://www.twitter.com/RickGeorgeCU
Colorado State,Joe Parker,JoeParkerAD,Yes,Yes,Yes,Yes,,JoeParkerAD,https://www.twitter.com/JoeParkerAD
Connecticut,David Benedict,UConnHuskyAD,Yes,Yes,Yes,Yes,,UConnHuskyAD,https://www.twitter.com/UConnHuskyAD
Duke,Nina King,ninaking22,Yes,Yes,Yes,Yes,,ninaking22,https://www.twitter.com/ninaking22
East Carolina,Jon Gilbert,No,No,No,No,No,,,
Eastern Michigan,Scott Wetherbee,scottrwetherbee,No,No,No,Yes,,scottrwetherbee,https://www.twitter.com/scottrwetherbee
Florida Atlantic,Brian White,Brian_E_White_,Yes,Yes,Yes,Yes,,Brian_E_White_,https://www.twitter.com/Brian_E_White_
Florida,Scott Stricklin,ScottStricklin,Yes,Yes,Yes,Yes,,ScottStricklin,https://www.twitter.com/ScottStricklin
Florida International,Scott Carr,ScottCarrAD,Yes,Yes,Yes,Yes,,ScottCarrAD,https://www.twitter.com/ScottCarrAD
Florida State,Michael Alford,SeminoleAlford,Yes,Yes,Yes,Yes,,SeminoleAlford,https://www.twitter.com/SeminoleAlford
Fresno State,Terry Tumey,FresnoState_AD,Yes,Yes,Yes,Yes,,FresnoState_AD,https://www.twitter.com/FresnoState_AD
Georgia,Josh Brooks,Brooks_UGA,Yes,Yes,Yes,Yes,,Brooks_UGA,https://www.twitter.com/Brooks_UGA
Georgia Southern,Jared Benko,JaredBenko,Yes,Yes,Yes,Yes,,JaredBenko,https://www.twitter.com/JaredBenko
Georgia State,Charlie Cobb,CCobbGaStateAD,No,No,Yes,Yes,,CCobbGaStateAD,https://www.twitter.com/CCobbGaStateAD
Georgia Tech,J Batt,GTBattman,Yes,Yes,Yes,Yes,,GTBattman,https://www.twitter.com/GTBattman
Hawai'i,David Matlin,DavidAKMatlin,No,Yes,Yes,Yes,,DavidAKMatlin,https://www.twitter.com/DavidAKMatlin
Houston,Chris Pezman,Cpezman,Yes,Yes,Yes,Yes,,Cpezman,https://www.twitter.com/Cpezman
Illinois,Josh Whitman,IlliniAD,Yes,Yes,Yes,Yes,,IlliniAD,https://www.twitter.com/IlliniAD
Indiana,Scott Dolson,ScottDolson,No,No,No,No,,ScottDolson,https://www.twitter.com/ScottDolson
Iowa,Gary Barta,GaryBarta,No,No,No,No,Maybe his account??,GaryBarta,https://www.twitter.com/GaryBarta
Iowa State,Jamie Pollard,IASTATEAD,Yes,Yes,Yes,Yes,,IASTATEAD,https://www.twitter.com/IASTATEAD
James Madison,Jeff Bourne,BourneJeff,Yes,Yes,Yes,Yes,,BourneJeff,https://www.twitter.com/BourneJeff
Kansas,Travis Goff,tgoff11,Yes,Yes,Yes,Yes,,tgoff11,https://www.twitter.com/tgoff11
Kansas State,Gene Taylor,KSTATEADGT,Yes,Yes,Yes,Yes,,KSTATEADGT,https://www.twitter.com/KSTATEADGT
Kent State,Randale Richmond,RandaleRichmond,Yes,Yes,Yes,Yes,,RandaleRichmond,https://www.twitter.com/RandaleRichmond
Kentucky,Mitch Barnhart,UKMitchBarnhart,No,Yes,Yes,Yes,,UKMitchBarnhart,https://www.twitter.com/UKMitchBarnhart
Liberty,Ian McCaw,Ian_McCaw1,Yes,Yes,Yes,Yes,,Ian_McCaw1,https://www.twitter.com/Ian_McCaw1
Louisiana,Bryan Maggard,MaggardB,Yes,Yes,Yes,Yes,,MaggardB,https://www.twitter.com/MaggardB
Louisiana Monroe,Seth Hall* (INTERIM),No,No,No,No,No,INTERIM,,
Louisiana Tech,Eric Wood,EWOOD_AD,Yes,Yes,Yes,Yes,,EWOOD_AD,https://www.twitter.com/EWOOD_AD
Louisville,Josh Heird,joshheird,Yes,Yes,Yes,Yes,,joshheird,https://www.twitter.com/joshheird
LSU,Scott Woodward,No,No,No,No,No,,,
Marshall,Christian Spears,TheHerdAD,Yes,Yes,Yes,Yes,,TheHerdAD,https://www.twitter.com/TheHerdAD
Maryland,Damon Evans,Evans_TerpsAD,Yes,Yes,Yes,Yes,,Evans_TerpsAD,https://www.twitter.com/Evans_TerpsAD
Memphis,Laird Veatch,LairdVeatch,No,No,No,No,1 reply tweet 4 years ago,LairdVeatch,https://www.twitter.com/LairdVeatch
Miami,Dan Radakovich,DanRadakovich,Yes,Yes,Yes,Yes,,DanRadakovich,https://www.twitter.com/DanRadakovich
Miami (OH),David Sayler,MiamiOH_Dsayler,Yes,Yes,Yes,Yes,,MiamiOH_Dsayler,https://www.twitter.com/MiamiOH_Dsayler
Michigan,Ward Manuel,WardeManuel,No,No,No,No,,WardeManuel,https://www.twitter.com/WardeManuel
Michigan State,Alan Haller,AlanHaller,Yes,Yes,Yes,Yes,,AlanHaller,https://www.twitter.com/AlanHaller
Middle Tennessee,Chris Massaro,ChrisMassaroAD,Yes,Yes,Yes,Yes,,ChrisMassaroAD,https://www.twitter.com/ChrisMassaroAD
Minnesota,Mark Coyle,No,No,No,No,No,,,
Mississippi State,Bracky Brett* (INTERIM),MSUcompliance,No,Yes,Yes,Yes,INTERIM,MSUcompliance,https://www.twitter.com/MSUcompliance
Missouri,Desiree Reed-Francois,DRFrancois1,Yes,Yes,Yes,Yes,,DRFrancois1,https://www.twitter.com/DRFrancois1
Navy,Chet Gladchuk,No,No,No,No,No,,,
NC State,Boo Corrigan,BooCorrigan,No,No,No,Yes,,BooCorrigan,https://www.twitter.com/BooCorrigan
Nebraska,Trev Alberts,TrevAlberts,Yes,Yes,Yes,Yes,,TrevAlberts,https://www.twitter.com/TrevAlberts
Nevada,Stephanie Rempe,Stephanie_Rempe,No,Yes,Yes,Yes,,Stephanie_Rempe,https://www.twitter.com/Stephanie_Rempe
New Mexico,Eddie Nuñez,EddieNunezAD,Yes,Yes,Yes,Yes,,EddieNunezAD,https://www.twitter.com/EddieNunezAD
New Mexico State,Mario Moccia,MarioMocciaNMSU,Yes,Yes,Yes,Yes,,MarioMocciaNMSU,https://www.twitter.com/MarioMocciaNMSU
North Carolina,Bubba Cunningham,BubbaUNC,Yes,Yes,Yes,Yes,,BubbaUNC,https://www.twitter.com/BubbaUNC
North Texas,Wren Baker,wrenbaker,Yes,Yes,Yes,Yes,,wrenbaker,https://www.twitter.com/wrenbaker
Northern Illinois,Sean Frazier,SeanTFrazier,Yes,Yes,Yes,Yes,,SeanTFrazier,https://www.twitter.com/SeanTFrazier
Northwestern,Derrick Gragg,DrDerrickGragg,Yes,Yes,Yes,Yes,,DrDerrickGragg,https://www.twitter.com/DrDerrickGragg
Notre Dame,Jack Swarbrick,NotreDameAD,Yes,Yes,Yes,Yes,,NotreDameAD,https://www.twitter.com/NotreDameAD
Ohio,Julie Cromer,juliecromerOHIO,Yes,Yes,Yes,Yes,,juliecromerOHIO,https://www.twitter.com/juliecromerOHIO
Ohio State,Gene Smith,OSU_AD,Yes,Yes,Yes,Yes,,OSU_AD,https://www.twitter.com/OSU_AD
Oklahoma,Joe Castiglione,soonerad,Yes,Yes,Yes,Yes,,soonerad,https://www.twitter.com/soonerad
Oklahoma State,Chad Weiberg,ChadWeiberg,Yes,Yes,Yes,Yes,,ChadWeiberg,https://www.twitter.com/ChadWeiberg
Old Dominion,Camden Wood Selig,No,No,No,No,No,,,
Ole Miss,Keith Carter,KeithCarterOM,Yes,Yes,Yes,Yes,,KeithCarterOM,https://www.twitter.com/KeithCarterOM
Oregon,Rob Mullens,No,No,No,No,No,,,
Oregon State,Scott Barnes,BeaverAD,No,No,No,Yes,,BeaverAD,https://www.twitter.com/BeaverAD
Penn State,Patrick Kraft,No,No,No,No,No,,,
Pittsburgh,Heather Lyke,Pitt_LykeAD,Yes,Yes,Yes,Yes,,Pitt_LykeAD,https://www.twitter.com/Pitt_LykeAD
Purdue,Mike Bobinski,MikeBobinski,No,No,No,No,,MikeBobinski,https://www.twitter.com/MikeBobinski
Rice,Joe Karlgaard,jkarlgaard,Yes,Yes,Yes,Yes,,jkarlgaard,https://www.twitter.com/jkarlgaard
Rutgers,Patrick Hobbs,PatHobbsRU,No,No,Yes,Yes,,PatHobbsRU,https://www.twitter.com/PatHobbsRU
San Diego State,John David Wicker,jdwicker,No,Yes,Yes,Yes,,jdwicker,https://www.twitter.com/jdwicker
San José State,Jeff Konya,adriverhawks,No,No,No,No,Former acct from NSU (OK),adriverhawks,https://www.twitter.com/adriverhawks
SMU,Rick Hart,AD_RickHart,Yes,Yes,Yes,Yes,,AD_RickHart,https://www.twitter.com/AD_RickHart
South Alabama,Joel Erdmann,SouthAlabamaAD,Yes,Yes,Yes,Yes,,SouthAlabamaAD,https://www.twitter.com/SouthAlabamaAD
South Carolina,Ray Tanner,RayTannerSC,No,Yes,Yes,Yes,,RayTannerSC,https://www.twitter.com/RayTannerSC
South Florida,Michael Kelly,MKellyUSF,No,Yes,Yes,Yes,,MKellyUSF,https://www.twitter.com/MKellyUSF
Southern Mississippi,Jeremy McClain,jmcclain_USM,Yes,Yes,Yes,Yes,,jmcclain_USM,https://www.twitter.com/jmcclain_USM
Stanford,Bernard Muir,Stanford_AD,No,No,Yes,Yes,,Stanford_AD,https://www.twitter.com/Stanford_AD
Syracuse,John Wildhack,WildhackJ,Yes,Yes,Yes,Yes,,WildhackJ,https://www.twitter.com/WildhackJ
TCU,Jeremiah Donati,Jdonati_TCU,Yes,Yes,Yes,Yes,,Jdonati_TCU,https://www.twitter.com/Jdonati_TCU
Temple,Arthur Johnson,TempleOwls_AD,Yes,Yes,Yes,Yes,,TempleOwls_AD,https://www.twitter.com/TempleOwls_AD
Tennessee,Danny White,AD_DannyWhite,Yes,Yes,Yes,Yes,,AD_DannyWhite,https://www.twitter.com/AD_DannyWhite
Texas,Chris Del Conte,_delconte,Yes,Yes,Yes,Yes,,_delconte,https://www.twitter.com/_delconte
Texas A&M,Ross Bjork,RossBjorkAD,Yes,Yes,Yes,Yes,,RossBjorkAD,https://www.twitter.com/RossBjorkAD
Texas State,Don Coryell,DonCoryell,No,No,No,No,,DonCoryell,https://www.twitter.com/DonCoryell
Texas Tech,Kirby Hocutt,kirbyhocutt,Yes,Yes,Yes,Yes,,kirbyhocutt,https://www.twitter.com/kirbyhocutt
Toledo,Bryan Blair,BtotheBlair,Yes,Yes,Yes,Yes,,BtotheBlair,https://www.twitter.com/BtotheBlair
Troy,Brent Jones,brentjones4,Yes,Yes,Yes,Yes,,brentjones4,https://www.twitter.com/brentjones4
Tulane,Troy Dannen,Tulane_AD,Yes,Yes,Yes,Yes,,Tulane_AD,https://www.twitter.com/Tulane_AD
Tulsa,Rick Dickson,No,No,No,No,No,,,
UAB,Mark Ingram,UAB_AD,No,No,Yes,Yes,,UAB_AD,https://www.twitter.com/UAB_AD
UCF,Terry Mohajir,TerryMohajirAD,Yes,Yes,Yes,Yes,,TerryMohajirAD,https://www.twitter.com/TerryMohajirAD
UCLA,Martin Jarmond,MartinJarmond,Yes,Yes,Yes,Yes,,MartinJarmond,https://www.twitter.com/MartinJarmond
UMass,Ryan Bamford,UMassADBamford,Yes,Yes,Yes,Yes,,UMassADBamford,https://www.twitter.com/UMassADBamford
UNLV,Erick Harper,ErickHarper,Yes,Yes,Yes,Yes,,ErickHarper,https://www.twitter.com/ErickHarper
USC,Mike Bohn,USC_mikebohn,Yes,Yes,Yes,Yes,,USC_mikebohn,https://www.twitter.com/USC_mikebohn
UT San Antonio,Lisa Campos,LisaUTSA,Yes,Yes,Yes,Yes,,LisaUTSA,https://www.twitter.com/LisaUTSA
UTEP,Jim Senter,No,No,No,No,No,,,
Utah,Mark Harlan,MarkHarlan_AD,Yes,Yes,Yes,Yes,,MarkHarlan_AD,https://www.twitter.com/MarkHarlan_AD
Utah State,Jerry Bovee* (INTERIM),JerryBovee,Yes,Yes,Yes,Yes,INTERIM,JerryBovee,https://www.twitter.com/JerryBovee
Vanderbilt,Candice Storey Lee,VandyAD,Yes,Yes,Yes,Yes,,VandyAD,https://www.twitter.com/VandyAD
Virginia,Carla Williams,ADWilliamsUVA,Yes,Yes,Yes,Yes,,ADWilliamsUVA,https://www.twitter.com/ADWilliamsUVA
Virginia Tech,Whit Babcock,WhitBabcock,No,Yes,Yes,Yes,,WhitBabcock,https://www.twitter.com/WhitBabcock
Wake Forest,John Currie,John_Curie,Yes,Yes,Yes,Yes,,John_Curie,https://www.twitter.com/John_Curie
Washington,Jennifer Cohen,JenniferCohenUW,No,No,No,Yes,,JenniferCohenUW,https://www.twitter.com/JenniferCohenUW
Washington State,Patrick Chun,pat_chun,Yes,Yes,Yes,Yes,,pat_chun,https://www.twitter.com/pat_chun
West Virginia,Shane Lyons,WVUADLyons,No,Yes,Yes,Yes,,WVUADLyons,https://www.twitter.com/WVUADLyons
Western Kentucky,Todd Stewart,ToddStewartWKU,Yes,Yes,Yes,Yes,,ToddStewartWKU,https://www.twitter.com/ToddStewartWKU
Western Michigan,Rob Alsop* (INTERIM),jrobalsop,No,Yes,Yes,Yes,INTERIM,jrobalsop,https://www.twitter.com/jrobalsop
Wisconsin,Chris McIntosh,No,No,No,No,No,,,
Wyoming,Tom Burman,TomBurman1,No,Yes,Yes,Yes,,TomBurman1,https://www.twitter.com/TomBurman1
